Trinket,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,60496,60228,65360,67445,69043,70850,73051,77693,77919,80703,84073,86083,0,0,0
DraughtOfSouls,50752,55091,57872,61491,65991,70608,74543,79214,85388,90916,95869,100351,0,0,0
ChronoShard,101299,104083,109566,113025,116583,123905,127615,131790,137435,142880,148825,156959,0,0,0
HornOfValor,89446,91958,96187,99536,103160,104542,111904,114678,119732,123926,129742,136367,0,0,0
Stat_Mastery,96905,97172,102674,105617,109419,114544,122000,126482,129648,136713,142126,148670,0,0,0
BloodstainedHandkerchief,90446,93319,99542,103121,110287,115171,118691,123988,130730,138057,141576,149962,0,0,0
RavagedSeedPod,48942,50100,52050,50317,55211,57562,58002,56061,58386,60948,64214,68310,0,0,0
ConvergenceOfFates,158581,160715,166694,171770,172297,181769,186675,190030,196005,202016,207208,213536,0,0,0
UmbralMoonglaives,78520,82926,86248,86930,90998,93585,99389,103052,106120,109324,111528,118563,0,0,0
NightbloomingFrond,119442,122863,133098,139706,147813,153582,161730,168251,174260,185473,193572,201634,0,0,0
Stat_Crit,97273,100932,105169,108748,115610,118430,127150,131023,136239,139770,143527,151521,0,0,0
MementoOfAngerboda,99737,103800,105435,111477,117557,119101,123445,131477,138400,141680,147248,155460,0,0,0
ArcanogolemDigit,93005,98352,100264,104334,112817,115603,125376,129519,132889,141140,147034,155361,0,0,0
MarkOfDargrul,43442,44879,46377,49140,49671,51212,52116,55774,56490,58417,60462,63085,0,0,0
ChaosTalisman,115550,121474,127730,130273,136008,141329,149398,155705,161287,166826,175031,181926,0,0,0
Stat_Haste,110777,113293,119225,123265,126613,130168,136824,141287,146624,152011,157821,165568,0,0,0
EyeOfCommand,107695,114549,117710,121840,128405,130502,135004,143617,148165,153677,161981,168743,0,0,0
TemperedEggOfSerpentrix,89980,91312,98103,101302,107347,112388,118263,121161,131576,136030,143847,148052,0,0,0
InfernalCinders,87126,91458,92892,97784,102478,106307,113451,117441,121906,125924,130673,137199,0,0,0
UnstableArcanocrystal,98905,102220,104635,106552,106208,109744,111437,113687,113833,115901,119182,120862,0,0,0
TirathonsBetrayal,94372,97225,104063,109792,112593,119489,126418,130744,139489,143050,151046,157417,0,0,0
EntwinedElementalFoci,97653,104412,107277,111743,114087,119659,125548,128408,136627,145647,144837,154673,0,0,0
BloodthirstyInstict,114549,118292,123111,126552,132574,135898,142756,149720,152720,160434,165223,172046,0,0,0
HungerOfThePack,96963,103484,106127,109297,113092,117234,123487,128830,135264,140854,147501,153971,0,0,0
NightmareEggShell,96809,103755,108409,113032,114194,122157,123221,131343,135155,140351,144432,153805,0,0,0
EngineOfEradication_NoOrbs,63315,66675,68324,68949,73047,74246,75617,80208,84611,85978,91328,94223,0,0,0
SixFeatherFan,104749,111213,115666,120574,124848,130749,135307,140780,150008,159145,164556,174883,0,0,0
CradleOfAnguish,117302,120799,125908,132352,134106,142588,146057,152383,158277,162562,174372,177676,0,0,0
TinyOozelingInAJar,40223,41757,41283,43399,43806,46375,51217,48512,52371,52170,55030,55616,0,0,0
SpikedCounterweight,57956,57245,59705,61873,63715,65528,66980,69756,68782,74436,74657,77996,0,0,0
SeepingScourgewing,121790,127922,133089,134924,141522,150344,153611,159573,164581,174624,180800,193133,0,0,0
GolgannethsVitality,0,0,129173,135271,143809,151925,157993,163921,171082,182548,187137,198372,207639,215807,226845
NaturesCall,49695,53508,54838,52447,54620,59252,58733,59845,61928,64170,64022,65950,0,0,0
SpontaneousAppendages,52211,55113,54144,57345,61147,62597,64431,68565,70848,73252,75539,79096,0,0,0
ThriceAccursedCompass,98632,101824,106759,110862,115324,120868,124568,129000,136097,140091,144534,155375,0,0,0
TerrorboundNexus,49305,52019,52010,55300,57122,56574,61997,60899,61310,67957,68918,71737,0,0,0
VoidStalkersContract,88965,92221,97589,101699,106960,112008,116520,119902,127808,134477,139704,149262,0,0,0
SpecterOfBetrayal,120328,123830,129108,136287,142044,150032,156925,164594,171387,181266,189682,199230,0,0,0
Stat_Versatility,105980,107613,113257,119866,121867,127425,132107,137156,142761,150516,156396,159318,0,0,0
TomeOfUnravelingSanity,96018,98665,103198,110486,113142,116856,123579,126184,134668,140502,146421,151012,0,0,0
InfernalAlchemistStone,0,100855,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,117279,0,0,0,0,0,150034,0,0,0,0,0,193828
VialOfCeaselessToxins,109140,112951,118402,124492,130731,137306,142965,150413,156084,166014,172045,179483,0,0,0
SpecterOfBetrayal_NoOverlap,97438,99340,105588,113246,118612,123164,126302,134227,143503,147995,155659,162467,0,0,0
ShadowsingedFang,82937,89832,89213,91147,98446,102324,103381,109165,112953,118264,125277,126919,0,0,0
WindscarWhetstone,35565,36428,34959,36745,38029,39064,38674,40026,41705,43848,44241,45957,0,0,0
ToeKneesPromise,59788,64032,61711,67177,66685,68404,71399,74236,76900,78334,82253,83033,0,0,0
AmanThulsVision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128260
EngineOfEradication,98927,102166,105130,111187,116507,120733,125526,129749,133057,142225,149777,155119,0,0,0
GorshalachsLegacy,124650,131969,134841,140425,147084,152284,156149,166877,170962,180546,185816,195540,0,0,0
TerminusSignalingBeacon,32847,34750,35748,35762,36747,37203,39202,42511,39476,41984,44569,46680,0,0,0
InfernalCinders_3Users,95007,97990,105598,105380,111358,115531,118286,123684,128925,134578,140392,146246,0,0,0
