Trinket,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,60766,62510,62839,66502,66149,70088,71193,73906,75672,79540,79681,83437,0,0,0
DraughtOfSouls,48967,51745,56026,61902,62732,69851,75952,76099,82494,87980,93048,95138,0,0,0
ChronoShard,93890,99409,101810,104250,108452,114437,121432,126154,127987,135424,140781,149754,0,0,0
HornOfValor,96450,99305,102993,104922,110261,112654,116878,122643,125683,130787,134939,141192,0,0,0
Stat_Mastery,112798,116777,123979,126354,130788,135228,138966,146847,154958,158045,163836,171975,0,0,0
BloodstainedHandkerchief,94200,98004,103621,108148,114152,118833,123600,129490,135381,142689,148180,154720,0,0,0
RavagedSeedPod,31972,35253,35105,38735,38402,42039,42902,42306,42016,42187,44276,45635,0,0,0
ConvergenceOfFates,115517,121119,125440,127447,134637,141365,146587,151844,155884,161214,167887,175051,0,0,0
UmbralMoonglaives,99863,104753,107799,112550,116126,119976,124637,131168,136239,143163,148991,154324,0,0,0
NightbloomingFrond,118420,126495,134017,139727,146085,151282,158362,167473,175790,183440,191856,202244,0,0,0
Stat_Crit,107183,113212,117676,122019,124385,133318,137769,141211,147107,152185,161448,167935,0,0,0
MementoOfAngerboda,107754,109818,112995,119370,123331,129017,132654,139182,143620,148376,156500,162153,0,0,0
ArcanogolemDigit,96900,100851,106063,109150,114820,120680,122999,131129,136242,144111,149806,157624,0,0,0
MarkOfDargrul,48775,50872,51472,54448,55469,57891,58340,59546,61687,64823,66550,67676,0,0,0
ChaosTalisman,107101,112629,116707,122486,126050,131647,137791,141467,150982,154004,160055,167687,0,0,0
Stat_Haste,98653,101592,108965,115147,117795,122568,128163,133701,136402,143169,148954,151994,0,0,0
EyeOfCommand,124419,126366,134047,135699,143452,150707,155137,160875,165834,170830,178664,183739,0,0,0
TemperedEggOfSerpentrix,91523,92722,99774,105206,104145,111765,118384,123846,126115,132558,140594,146749,0,0,0
InfernalCinders,86362,87346,93802,96471,99822,106945,108644,112332,118938,119980,127805,132913,0,0,0
UnstableArcanocrystal,106073,107626,110627,112470,114898,119187,119036,123192,122788,127017,126753,130158,0,0,0
TirathonsBetrayal,93951,95896,101815,107304,110786,115121,122223,127220,131876,142380,147164,150259,0,0,0
EntwinedElementalFoci,105937,111293,113784,116969,121880,130743,134138,137943,144590,153281,156393,165470,0,0,0
BloodthirstyInstict,102715,103225,112917,115305,119285,124237,129428,134683,138839,143520,151422,159108,0,0,0
HungerOfThePack,109213,113605,115304,121744,124115,133246,136516,142297,147409,155373,158955,167567,0,0,0
NightmareEggShell,93987,94149,101030,104423,108963,113219,120260,122329,130714,134162,139358,147462,0,0,0
EngineOfEradication_NoOrbs,79015,78857,83414,84730,89544,91185,96173,100053,101627,108325,111318,113072,0,0,0
SixFeatherFan,103819,108568,115497,118943,124834,130597,136815,143771,152904,156781,165157,175713,0,0,0
CradleOfAnguish,108807,110982,117659,121844,126886,131640,138174,144000,151406,155355,162757,170716,0,0,0
TinyOozelingInAJar,48865,51030,51884,52757,55241,54813,55894,54904,59678,59634,62574,64690,0,0,0
SpikedCounterweight,46142,47968,50208,53125,53934,56376,56289,58107,59748,61247,62283,66329,0,0,0
SeepingScourgewing,117286,119918,127321,130761,136315,140794,145884,152078,159629,167239,170935,177586,0,0,0
GolgannethsVitality,0,0,129879,133258,139046,144147,154580,161225,169439,174433,183758,192609,200733,211962,220151
NaturesCall,57880,56624,58289,58694,61372,64359,69817,73206,76809,73775,77228,78356,0,0,0
SpontaneousAppendages,61509,67999,67908,71141,71484,75116,77260,77209,82495,84122,87171,92381,0,0,0
ThriceAccursedCompass,108649,110220,116501,120142,121609,128005,140940,145799,151019,156645,164587,170274,0,0,0
TerrorboundNexus,59465,63329,64096,65053,66939,69112,72193,72819,75735,79325,79639,81778,0,0,0
VoidStalkersContract,112531,114498,122846,125133,131849,137994,144444,154212,159433,167117,174677,182139,0,0,0
SpecterOfBetrayal,149420,158132,163357,170303,179727,187207,197401,205976,212330,225839,237411,247789,0,0,0
Stat_Versatility,111490,114170,122491,124889,130784,136008,139897,146886,151039,158225,164570,172226,0,0,0
TomeOfUnravelingSanity,100603,105383,109263,114126,118793,123674,129444,136112,141400,147045,155688,158461,0,0,0
InfernalAlchemistStone,0,107971,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,121465,0,0,0,0,0,161581,0,0,0,0,0,203738
VialOfCeaselessToxins,111965,117848,123081,128158,135493,140559,146337,157433,164344,171281,174180,185057,0,0,0
SpecterOfBetrayal_NoOverlap,118966,124036,128827,130683,138408,148151,156266,159456,169320,177877,184530,193479,0,0,0
ShadowsingedFang,94985,98988,100548,104280,111613,114204,115265,120707,127205,131328,136998,143232,0,0,0
WindscarWhetstone,49933,51586,52631,55905,55261,60066,58550,59952,60797,65587,63237,66802,0,0,0
ToeKneesPromise,39459,39659,39783,41886,42510,47139,46832,48338,50687,50864,51527,55282,0,0,0
AmanThulsVision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139262
EngineOfEradication,114242,117875,122134,129334,133500,135971,143299,150941,154079,160418,167046,174108,0,0,0
GorshalachsLegacy,107670,113615,116270,123457,126319,131465,138204,142650,150553,154983,163128,172067,0,0,0
TerminusSignalingBeacon,51193,53113,54863,54342,54906,58008,61134,60337,61270,64028,67064,66049,0,0,0
InfernalCinders_3Users,93375,97214,100080,105925,110239,112622,117482,121107,126451,132300,138591,141512,0,0,0
