Trinket,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,67524,67336,76061,72446,77076,81248,84719,87924,87407,92465,96027,98811,0,0,0
DraughtOfSouls,24683,31212,32975,38426,43073,47634,50329,57311,62485,71244,75616,77276,0,0,0
ChronoShard,92511,100047,102556,107849,110150,114714,119914,125468,130370,135855,140600,148689,0,0,0
HornOfValor,88866,91962,96083,98501,101765,108560,112377,117420,117401,124237,128590,134945,0,0,0
Stat_Mastery,101101,106068,108801,113346,118871,121975,128087,132341,138611,147795,151482,156522,0,0,0
BloodstainedHandkerchief,87659,90147,95247,99414,101945,111737,117467,120393,129552,134420,140375,147644,0,0,0
RavagedSeedPod,45540,47356,45879,46113,51195,50786,48931,52943,54989,54571,61270,58590,0,0,0
ConvergenceOfFates,154377,163742,160686,166045,175223,178480,180903,188081,192024,196648,202613,208588,0,0,0
UmbralMoonglaives,85859,88924,91826,96222,101801,99999,106707,112768,113445,121234,123751,127519,0,0,0
NightbloomingFrond,194375,205943,216407,225106,236613,247862,258362,272376,284315,298413,314680,329448,0,0,0
Stat_Crit,103554,108386,111196,117430,120980,127507,128565,134087,141179,147393,150261,157555,0,0,0
MementoOfAngerboda,101674,107948,110008,114986,118144,123684,124711,134720,139182,141398,151057,153940,0,0,0
ArcanogolemDigit,90756,92970,97026,106554,109746,113662,119841,124489,130283,136451,141360,149234,0,0,0
MarkOfDargrul,51052,51954,53816,55555,59229,59881,61355,65117,68550,70570,72357,75274,0,0,0
ChaosTalisman,115384,114294,118546,125073,131312,135249,139642,145226,152660,157397,163777,174722,0,0,0
Stat_Haste,99858,102856,110059,112892,119619,124057,125797,131694,139090,144750,146055,156274,0,0,0
EyeOfCommand,119511,124877,130208,133568,136631,143418,148573,153681,160611,168944,173224,180955,0,0,0
TemperedEggOfSerpentrix,82485,88665,92060,98907,98540,103517,112374,118009,121229,129463,136207,139799,0,0,0
InfernalCinders,101455,100442,104919,110461,119133,119745,124750,126979,133688,139905,146926,148006,0,0,0
UnstableArcanocrystal,117171,116311,120902,123004,124607,126362,130083,129050,134331,138927,139294,141461,0,0,0
TirathonsBetrayal,89607,96405,99981,105446,110834,115543,122425,129677,134033,139259,146607,157450,0,0,0
EntwinedElementalFoci,102724,106243,110699,114753,122301,126715,129655,135799,139276,146641,151994,154837,0,0,0
BloodthirstyInstict,110988,117542,117929,123881,129221,132825,135913,144665,145802,156338,159588,166848,0,0,0
HungerOfThePack,102448,103610,110633,116675,120272,125643,129417,133445,141019,145660,151740,156764,0,0,0
NightmareEggShell,93107,97079,99885,103340,111131,111165,118707,123554,131985,135218,142204,145371,0,0,0
EngineOfEradication_NoOrbs,73327,72879,78637,80268,83464,84936,90399,91737,94666,99741,103369,105812,0,0,0
SixFeatherFan,101347,105831,111482,115501,121304,129732,135855,141916,146427,152992,160323,168362,0,0,0
CradleOfAnguish,108288,112544,116973,121685,126412,130777,136234,144535,146789,155887,162395,169493,0,0,0
TinyOozelingInAJar,48872,50051,53673,56856,57168,61947,59612,61332,62451,64418,67045,68897,0,0,0
SpikedCounterweight,51721,55217,57237,57856,58340,63210,60284,64539,69860,70922,75033,74823,0,0,0
SeepingScourgewing,126695,130745,136870,144606,149559,153233,161432,168711,175430,183598,192098,196992,0,0,0
GolgannethsVitality,0,0,128625,132898,140433,147330,152227,159494,168552,176747,183221,196090,203772,212531,225203
NaturesCall,62363,63188,65124,70860,68317,71302,74861,75955,75925,74804,80433,82527,0,0,0
SpontaneousAppendages,64586,66823,67470,71835,73340,75323,79838,81317,85117,87535,90303,94321,0,0,0
ThriceAccursedCompass,105543,106539,107077,111866,121733,123077,130353,132689,140895,144120,151504,157543,0,0,0
TerrorboundNexus,60952,60447,62766,66094,68995,69143,73155,74176,75918,79953,82119,87433,0,0,0
VoidStalkersContract,85232,90251,97727,102165,103049,109446,117075,120519,123594,131761,139451,142959,0,0,0
SpecterOfBetrayal,121730,122616,132086,135389,145119,149490,157984,166291,176551,181788,192257,204837,0,0,0
Stat_Versatility,102727,107373,115688,118884,120985,125038,134550,138829,142653,151130,156010,162168,0,0,0
TomeOfUnravelingSanity,93288,99169,102242,105186,112673,117112,120755,126265,133056,139133,143042,153657,0,0,0
InfernalAlchemistStone,0,100891,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,124671,0,0,0,0,0,160820,0,0,0,0,0,200502
VialOfCeaselessToxins,109257,109801,114133,121238,127734,132894,142730,144220,154590,161154,168612,179100,0,0,0
SpecterOfBetrayal_NoOverlap,96736,101131,100037,108999,116032,121297,129358,135389,140770,147158,154603,160549,0,0,0
ShadowsingedFang,86824,86939,97552,97793,101426,107300,111343,115409,119725,124601,131663,132395,0,0,0
WindscarWhetstone,46353,43240,47587,43424,50701,48901,50519,54851,53698,58494,56244,57635,0,0,0
ToeKneesPromise,49076,58556,58184,56594,58232,61992,64368,67180,70085,73557,74304,77629,0,0,0
AmanThulsVision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151481
EngineOfEradication,106192,110678,112075,118834,123811,127419,130786,140147,146527,152907,156691,162044,0,0,0
GorshalachsLegacy,127758,137867,143944,144611,151717,155756,167308,174108,184043,188353,197408,205126,0,0,0
TerminusSignalingBeacon,43901,45545,47362,47835,48462,47564,48935,53698,55086,54742,55868,59340,0,0,0
InfernalCinders_3Users,107164,111041,112260,119359,123872,126023,133884,138567,143366,150315,156286,163446,0,0,0
