BlackPowder,6923.300000000047,"1",13443.400000000023,"2",19877.199999999953,"3",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
Fatebringer,9504.199999999953,"1",18507.5,"2",28135.400000000023,"3",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
FatesThirst,8172.699999999953,"1",15846.400000000023,"2",23788.199999999953,"3",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
FortuneStrikes,10240.699999999953,"1",19334.699999999953,"2",29305.199999999953,"3",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
FortunesBoon,8844.400000000023,"1",17963.5,"2",25399.199999999953,"3",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
FortunesStrike,4689.900000000023,"1",9453.199999999953,"2",15390.599999999977,"3",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
Gunslinger,4432.099999999977,"1",8348.699999999953,"2",13018.900000000023,"3",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
Sabermetrics,6538.099999999977,"1",12434.0,"2",18388.400000000023,"3",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
WeaponItemLevel,1549.6999999999534,"1",2674.9000000000233,"2",3241.9000000000233,"3",4564.300000000047,"4",6149.300000000047,"5",6894.900000000023,"6",7983.0,"7",8529.699999999953,"8",10281.400000000023,"9",11100.900000000023,"10",12773.5,"11",13439.5,"12",14784.400000000023,"13",16282.0,"14",16866.400000000023,"15",18149.0,"16",19642.800000000047,"17",21099.800000000047,"18",21945.199999999953,"19",22918.099999999977,"20"
